"TARGET","LAAM_a","LAAM_b"
"Gnai3",6.23433053190569,6.07474855591289
"Cdc45",1.88205331999378,2.0591797022548
"Scml2",0.568747268105722,-0.0373072953908891
"Narf",1.47042976121644,1.18585646795083
"Cav2",4.38445174803366,4.60251215422604
"Klf6",9.06211709381743,8.68258436331691
"Scmh1",4.10606754912671,3.65587420461011
"Cox5a",7.00526917485062,7.3432997779717
"Tbx2",-1.12478894985649,0.0938085828599646
"Tbx4",-2.20894462825525,-2.18136285375231
"Fer",4.08018736889562,3.81251774281967
"Xpo6",5.07836396310754,5.07718447312872
"Tfe3",6.19404189040704,5.86569829905855
"Brat1",2.11655199927265,2.27133250596566
"Gna12",6.31429547610807,6.37708192095666
"Slc22a18",2.05974198076002,1.62452873366171
"Dlat",4.39032421572605,4.54156465661753
"Sdhd",6.18761386594128,6.43946466006111
"Gpr107",4.94613031152367,5.03791307100072
"Slfn4",0.425923407108106,0.898720942430156
"Tspan32",4.87019297380221,4.51036850973721
"Clec2g",-0.988293568653681,-1.27731116643254
"Gmpr",1.98882451825428,2.94730004849804
"Mid2",0.440221753704079,1.04461747580816
"Trim25",5.46557126471567,4.87268873250611
"Dgke",0.381133020271389,0.529385156090071
"Scpep1",7.71674625613825,7.57184210696339
"Mnt",3.63425972159097,3.72608631164533
"Itgb2",7.61577386498597,7.77072278893435
"Hddc2",2.07522699534867,3.41059052707541
"Cdh1",-0.821872173268455,-0.209159051424002
"Bcl6b",0.0255724363336962,-1.39317571764022
"Clec10a",9.74942289070075,8.55530264633938
"Arvcf",1.88835169553348,1.21231994590589
"Comt",6.82543135046175,6.80538533654461
"Rtca",3.32958893963165,3.46624258844419
"Dbt",3.50330268015682,3.72768896881077
"Dazap2",8.36357453801406,8.33078553733679
"Mcts1",5.49336734524385,5.36286599127911
"Rem1",1.42248734355807,0.416149579977756
"Rnf17",-2.25817047854091,-1.55488595454786
"Trappc10",4.28049480905044,4.16031116752062
"Ccm2",5.26287474359925,4.88216016580262
"Tbrg4",3.85684843953588,3.96081614634215
"Mx1",3.5657732933603,3.01665202789747
"Fap",-0.57384731155306,-0.430005725299541
"Ndufa9",5.33001416427619,5.33873524516166
"Egfl6",-1.84135507125661,-2.26145357307122
"Lck",0.453764978528714,0.0943733934284992
"Galnt1",6.01006092523417,6.03228136576206
"Mkrn2",2.35477339347507,2.29872886004366
"Pparg",2.4276691663382,3.43351389812308
"Pdgfb",2.82657855451807,4.4474138364243
"Acvrl1",5.15786724145667,5.47595780990339
"Grasp",-1.09218887436818,0.0595020900977554
"Acvr1b",2.69018466064284,2.60852324814693
"Tom1l2",3.81603624283569,3.40632032456534
"Zfp385a",4.97380367231848,5.14805365154082
"Itga5",3.90795298991346,4.13312560669748
"Wdr77",3.13655596798237,3.25014658041284
"Hnrnpd",6.81099075690753,6.89061613183465
"C1d",5.16281710669849,5.03254705548993
